bid;ask;tick;SpreadNominal;SpreadTick;Symbol;time;instrument
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:26:07Z;RFX20
   36,37;   36,50;0,01;  0,13; 13;WTIJul20;2020-06-11T17:26:07Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:15Z;DO
  122,95;  123,05;0,05;  0,10;  2;GGALJun20;2020-06-11T17:26:15Z;GGAL
 1738,70; 1740,00;0,10;  1,30; 13;OROJul20;2020-06-11T17:26:15Z;ORO
60020,00;60130,00;5,00;110,00; 22;RFX20Jun20;2020-06-11T17:26:15Z;RFX20
   36,36;   36,50;0,01;  0,14; 14;WTIJul20;2020-06-11T17:26:15Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:23Z;DO
  122,95;  123,05;0,05;  0,10;  2;GGALJun20;2020-06-11T17:26:23Z;GGAL
 1738,70; 1740,00;0,10;  1,30; 13;OROJul20;2020-06-11T17:26:23Z;ORO
60020,00;60130,00;5,00;110,00; 22;RFX20Jun20;2020-06-11T17:26:23Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:26:23Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:30Z;DO
  122,95;  123,05;0,05;  0,10;  2;GGALJun20;2020-06-11T17:26:30Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:26:30Z;ORO
60020,00;60130,00;5,00;110,00; 22;RFX20Jun20;2020-06-11T17:26:30Z;RFX20
   36,32;   36,50;0,01;  0,18; 18;WTIJul20;2020-06-11T17:26:30Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:39Z;DO
  122,60;  123,05;0,05;  0,45;  9;GGALJun20;2020-06-11T17:26:39Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:26:39Z;ORO
60020,00;60130,00;5,00;110,00; 22;RFX20Jun20;2020-06-11T17:26:39Z;RFX20
   36,34;   36,50;0,01;  0,16; 16;WTIJul20;2020-06-11T17:26:39Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:46Z;DO
  122,60;  123,00;0,05;  0,40;  8;GGALJun20;2020-06-11T17:26:46Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:26:46Z;ORO
60025,00;60130,00;5,00;105,00; 21;RFX20Jun20;2020-06-11T17:26:46Z;RFX20
   36,36;   36,50;0,01;  0,14; 14;WTIJul20;2020-06-11T17:26:46Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:26:54Z;DO
  123,00;  123,05;0,05;  0,05;  1;GGALJun20;2020-06-11T17:26:54Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:26:54Z;ORO
60050,00;60130,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:26:54Z;RFX20
   36,33;   36,50;0,01;  0,17; 17;WTIJul20;2020-06-11T17:26:54Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:02Z;DO
  123,00;  123,05;0,05;  0,05;  1;GGALJun20;2020-06-11T17:27:02Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:27:02Z;ORO
60050,00;60120,00;5,00; 70,00; 14;RFX20Jun20;2020-06-11T17:27:02Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:02Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:11Z;DO
  123,00;  123,05;0,05;  0,05;  1;GGALJun20;2020-06-11T17:27:11Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:27:11Z;ORO
60050,00;60115,00;5,00; 65,00; 13;RFX20Jun20;2020-06-11T17:27:11Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:11Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:19Z;DO
  123,00;  123,05;0,05;  0,05;  1;GGALJun20;2020-06-11T17:27:19Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:27:19Z;ORO
60050,00;60100,00;5,00; 50,00; 10;RFX20Jun20;2020-06-11T17:27:19Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:19Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:27Z;DO
  123,00;  123,05;0,05;  0,05;  1;GGALJun20;2020-06-11T17:27:27Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:27:27Z;ORO
60050,00;60095,00;5,00; 45,00;  9;RFX20Jun20;2020-06-11T17:27:27Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:27Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:34Z;DO
  122,60;  123,10;0,05;  0,50; 10;GGALJun20;2020-06-11T17:27:34Z;GGAL
 1738,50; 1740,00;0,10;  1,50; 15;OROJul20;2020-06-11T17:27:34Z;ORO
60025,00;60095,00;5,00; 70,00; 14;RFX20Jun20;2020-06-11T17:27:34Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:34Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:42Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:27:42Z;GGAL
 1738,70; 1740,00;0,10;  1,30; 13;OROJul20;2020-06-11T17:27:42Z;ORO
60000,00;60090,00;5,00; 90,00; 18;RFX20Jun20;2020-06-11T17:27:42Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:42Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:51Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:27:51Z;GGAL
 1739,20; 1740,00;0,10;  0,80;  8;OROJul20;2020-06-11T17:27:51Z;ORO
59950,00;60090,00;5,00;140,00; 28;RFX20Jun20;2020-06-11T17:27:51Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:51Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:27:59Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:27:59Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:27:59Z;ORO
59950,00;60090,00;5,00;140,00; 28;RFX20Jun20;2020-06-11T17:27:59Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:27:59Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:28:08Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:28:08Z;GGAL
 1738,50; 1740,00;0,10;  1,50; 15;OROJul20;2020-06-11T17:28:08Z;ORO
59950,00;60090,00;5,00;140,00; 28;RFX20Jun20;2020-06-11T17:28:08Z;RFX20
   36,31;   36,50;0,01;  0,19; 19;WTIJul20;2020-06-11T17:28:08Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:28:16Z;DO
  122,55;  122,90;0,05;  0,35;  7;GGALJun20;2020-06-11T17:28:16Z;GGAL
